n_estimators,max_depth,min_samples_split,min_samples_leaf,rmse,mae,mape
110,7,2,2,0.7117291835190486,0.524060636701467,0.08161170429022324
110,7,2,3,0.7012484302900059,0.516011840328141,0.08019564986683486
110,7,2,4,0.7166025050389889,0.5184830492543205,0.08014159654353005
110,7,3,2,0.7117291835190483,0.524060636701467,0.08161170429022324
110,7,3,3,0.7012484302900059,0.516011840328141,0.08019564986683486
110,7,3,4,0.7166025050389889,0.5184830492543205,0.08014159654353005
110,7,4,2,0.7117291835190485,0.524060636701467,0.08161170429022326
110,7,4,3,0.7012484302900059,0.516011840328141,0.08019564986683488
110,7,4,4,0.7166025050389889,0.5184830492543205,0.08014159654353004
110,8,2,2,0.6986313812508047,0.5101090057250495,0.07958327085093544
110,8,2,3,0.689511262768715,0.5011767671582942,0.07792814743019999
110,8,2,4,0.7076561361377864,0.5056346176938322,0.07819832138761015
110,8,3,2,0.6986313812508047,0.5101090057250495,0.07958327085093544
110,8,3,3,0.689511262768715,0.5011767671582943,0.07792814743019999
110,8,3,4,0.7076561361377866,0.5056346176938322,0.07819832138761015
110,8,4,2,0.6986313812508047,0.5101090057250495,0.07958327085093544
110,8,4,3,0.6895112627687151,0.5011767671582943,0.07792814743019999
110,8,4,4,0.7076561361377864,0.5056346176938322,0.07819832138761017
110,9,2,2,0.6972841839913776,0.5022419139860395,0.07839554306199735
110,9,2,3,0.6820755516243188,0.49179738175539894,0.07656436946631534
110,9,2,4,0.7025484843787645,0.498003075386453,0.07718461449592573
110,9,3,2,0.6972841839913774,0.5022419139860393,0.07839554306199735
110,9,3,3,0.6820755516243188,0.49179738175539894,0.07656436946631534
110,9,3,4,0.7025484843787645,0.498003075386453,0.07718461449592572
110,9,4,2,0.6972841839913775,0.5022419139860395,0.07839554306199735
110,9,4,3,0.6820755516243188,0.4917973817553988,0.07656436946631533
110,9,4,4,0.7025484843787644,0.498003075386453,0.07718461449592572
110,10,2,2,0.6913273900269626,0.4963953864403657,0.07757066743399446
110,10,2,3,0.6803616093031485,0.4867764141886079,0.07587994139565753
110,10,2,4,0.7009698135283768,0.49360353538831414,0.07651423468840146
110,10,3,2,0.6913273900269626,0.4963953864403656,0.07757066743399445
110,10,3,3,0.6803616093031484,0.4867764141886079,0.07587994139565751
110,10,3,4,0.7009698135283768,0.49360353538831425,0.07651423468840146
110,10,4,2,0.6913273900269626,0.4963953864403657,0.07757066743399445
110,10,4,3,0.6803616093031484,0.48677641418860795,0.07587994139565753
110,10,4,4,0.7009698135283768,0.49360353538831414,0.07651423468840145
110,11,2,2,0.6886650341987823,0.49076444699582655,0.07663940817799923
110,11,2,3,0.6782064766788296,0.4826594885976319,0.07522500344594629
110,11,2,4,0.6983755894817613,0.4890811415839377,0.07580298021655107
110,11,3,2,0.6886650341987823,0.49076444699582655,0.07663940817799923
110,11,3,3,0.6782064766788295,0.4826594885976319,0.07522500344594629
110,11,3,4,0.6983755894817613,0.48908114158393784,0.07580298021655109
110,11,4,2,0.6886650341987823,0.49076444699582655,0.07663940817799923
110,11,4,3,0.6782064766788295,0.4826594885976319,0.07522500344594629
110,11,4,4,0.6983755894817613,0.48908114158393773,0.07580298021655107
110,12,2,2,0.6869864730589123,0.48906130719985125,0.07646387117560118
110,12,2,3,0.6788153612901543,0.4820166066226318,0.07519582744820338
110,12,2,4,0.6978392561260299,0.48747523108108565,0.07556740877266148
110,12,3,2,0.6869864730589123,0.4890613071998511,0.07646387117560116
110,12,3,3,0.6788153612901543,0.4820166066226318,0.07519582744820338
110,12,3,4,0.69783925612603,0.4874752310810856,0.07556740877266148
110,12,4,2,0.6869864730589123,0.4890613071998511,0.07646387117560115
110,12,4,3,0.6788153612901543,0.4820166066226318,0.07519582744820337
110,12,4,4,0.6978392561260299,0.4874752310810856,0.07556740877266148
110,13,2,2,0.6921311229502168,0.48974861279970155,0.0765853630878631
110,13,2,3,0.678842898288054,0.4815535209482738,0.07512626914467824
110,13,2,4,0.6977401836182873,0.4873668245539948,0.07560744303985736
110,13,3,2,0.6921311229502168,0.4897486127997017,0.0765853630878631
110,13,3,3,0.6788428982880541,0.4815535209482739,0.07512626914467824
110,13,3,4,0.6977401836182873,0.4873668245539948,0.07560744303985736
110,13,4,2,0.6921311229502168,0.4897486127997016,0.07658536308786311
110,13,4,3,0.678842898288054,0.4815535209482739,0.07512626914467825
110,13,4,4,0.6977401836182874,0.4873668245539948,0.07560744303985736
110,14,2,2,0.6957386568380685,0.492360812109245,0.07709446617976388
110,14,2,3,0.6782822529478505,0.48128331517742273,0.07514711251720779
110,14,2,4,0.6980368690097474,0.4871457277474144,0.07558253635908155
110,14,3,2,0.6957386568380685,0.492360812109245,0.07709446617976388
110,14,3,3,0.6782822529478506,0.4812833151774229,0.0751471125172078
110,14,3,4,0.6980368690097474,0.4871457277474143,0.07558253635908155
110,14,4,2,0.6957386568380683,0.492360812109245,0.07709446617976388
110,14,4,3,0.6782822529478506,0.4812833151774228,0.0751471125172078
110,14,4,4,0.6980368690097474,0.4871457277474142,0.07558253635908155
110,15,2,2,0.6958671664159124,0.49251552147804195,0.07705620629922202
110,15,2,3,0.678123536768688,0.48125320320005005,0.07511875885953821
110,15,2,4,0.697499572038011,0.4867545334950797,0.07548728662332953
110,15,3,2,0.6958671664159125,0.49251552147804195,0.07705620629922204
110,15,3,3,0.678123536768688,0.48125320320005005,0.07511875885953821
110,15,3,4,0.6974995720380109,0.4867545334950797,0.07548728662332953
110,15,4,2,0.6958671664159124,0.49251552147804195,0.07705620629922204
110,15,4,3,0.678123536768688,0.48125320320005005,0.07511875885953821
110,15,4,4,0.6974995720380109,0.4867545334950797,0.07548728662332953
110,16,2,2,0.698079451178039,0.49420951308760147,0.077363756337925
110,16,2,3,0.6803667301289856,0.4822900258000914,0.07528723852470195
110,16,2,4,0.6974538381420401,0.48651188781104365,0.0754676110946367
110,16,3,2,0.698079451178039,0.49420951308760147,0.077363756337925
110,16,3,3,0.6803667301289857,0.4822900258000914,0.07528723852470195
110,16,3,4,0.6974538381420402,0.4865118878110438,0.0754676110946367
110,16,4,2,0.6980794511780389,0.4942095130876013,0.077363756337925
110,16,4,3,0.6803667301289857,0.4822900258000914,0.07528723852470195
110,16,4,4,0.6974538381420401,0.48651188781104365,0.07546761109463672
110,17,2,2,0.6957675760113082,0.4934020139891321,0.07722248650387419
110,17,2,3,0.6798320199553405,0.4819657162466655,0.07524072473539581
110,17,2,4,0.6973121154731434,0.4864210845396471,0.07545335067719065
110,17,3,2,0.6957675760113081,0.4934020139891321,0.07722248650387419
110,17,3,3,0.6798320199553405,0.4819657162466655,0.07524072473539581
110,17,3,4,0.6973121154731434,0.4864210845396471,0.07545335067719065
110,17,4,2,0.6957675760113081,0.4934020139891321,0.07722248650387417
110,17,4,3,0.6798320199553405,0.48196571624666557,0.07524072473539581
110,17,4,4,0.6973121154731434,0.4864210845396471,0.07545335067719065
120,7,2,2,0.7110539162928737,0.5235379377825522,0.08153533509111106
120,7,2,3,0.7001572807586436,0.5144884348392011,0.07994928667096077
120,7,2,4,0.7159110007691961,0.5174883078466859,0.0799816218531923
120,7,3,2,0.7110539162928738,0.5235379377825521,0.08153533509111105
120,7,3,3,0.7001572807586435,0.5144884348392011,0.07994928667096077
120,7,3,4,0.7159110007691962,0.5174883078466859,0.07998162185319231
120,7,4,2,0.7110539162928738,0.5235379377825521,0.08153533509111106
120,7,4,3,0.7001572807586436,0.5144884348392011,0.07994928667096077
120,7,4,4,0.7159110007691962,0.5174883078466859,0.0799816218531923
120,8,2,2,0.6990950597950482,0.5097656859435452,0.07952035210401909
120,8,2,3,0.6895184039203022,0.49991506954384674,0.07771353618120282
120,8,2,4,0.7076792096862223,0.5049411521331177,0.07807772140188587
