n_estimators,max_depth,min_child_weight,gamma,learning_rate,rmse,mae,mape
110,10,1,1,0.1,0.6654006890902656,0.4372434330703621,0.06777256407817397
110,10,1,1,0.05,0.6807396934399856,0.4327712331499372,0.0664743282405049
110,10,1,1,0.01,2.0847141490483825,1.9241286753174058,0.29658058493227313
110,10,1,5,0.1,0.6772161534853552,0.47808394654352865,0.07455041899017
110,10,1,5,0.05,0.6725326962381305,0.46164780236724623,0.07139023760320203
110,10,1,5,0.01,2.0827597783609235,1.9207299321396907,0.2959528013954806
110,10,2,1,0.1,0.6780554602427785,0.4449523504156816,0.06848509957965988
110,10,2,1,0.05,0.6657639828628515,0.43542305594996394,0.06669971325826143
110,10,2,1,0.01,2.0845681716021796,1.9263854126464155,0.29701886533461935
110,10,2,5,0.1,0.6632750793255937,0.4602348944298307,0.07130911477608737
110,10,2,5,0.05,0.6681128986970388,0.4611020191450765,0.0712445816340813
110,10,2,5,0.01,2.0826428737950553,1.92067942934825,0.29584984023187183
110,11,1,1,0.1,0.6734058301489451,0.4388771693867848,0.06753644494971436
110,11,1,1,0.05,0.6713988095919101,0.42789596600640084,0.06555105708540557
110,11,1,1,0.01,2.0854009550507575,1.9252248895974984,0.2967795086217931
110,11,1,5,0.1,0.6724264629642397,0.4678818225143548,0.07265644909432036
110,11,1,5,0.05,0.6765638562478873,0.4664604215693653,0.07222303146893132
110,11,1,5,0.01,2.0827150161139047,1.920710253106024,0.2959557462506525
110,11,2,1,0.1,0.6732897354023208,0.42960362111715444,0.06596851968332615
110,11,2,1,0.05,0.6660720254779641,0.43424820993179664,0.06664653279844236
110,11,2,1,0.01,2.0838971811762503,1.9252550690873225,0.29679646088638223
110,11,2,5,0.1,0.6594663668030628,0.4631751602574398,0.07187455228970514
110,11,2,5,0.05,0.6793816155927095,0.47069537083905444,0.07296289623842193
110,11,2,5,0.01,2.082906606385608,1.920902400554571,0.29588319801039653
110,12,1,1,0.1,0.6867841245817891,0.4459483546780464,0.06872540586301355
110,12,1,1,0.05,0.6904031845755372,0.44110353154347354,0.06772380015085451
110,12,1,1,0.01,2.0850188166507526,1.9250850128231192,0.29677386929786126
110,12,1,5,0.1,0.6697856407723629,0.4691439906815837,0.07299737404952848
110,12,1,5,0.05,0.6725902743189158,0.46265658859023473,0.07156674148421012
110,12,1,5,0.01,2.082986926443573,1.9210065808690582,0.29600529158369
110,12,2,1,0.1,0.6657374763463816,0.43833922651477325,0.06750259075492969
110,12,2,1,0.05,0.6715321177618688,0.4301509006758381,0.06569239873502669
110,12,2,1,0.01,2.0839884240015003,1.9253768547316243,0.29682506658376606
110,12,2,5,0.1,0.6599222698785607,0.455642847620455,0.07064892109952833
110,12,2,5,0.05,0.6792547299045312,0.4705443201566997,0.07282999804748333
110,12,2,5,0.01,2.0828803860831324,1.920781170622747,0.29586438981587077
110,13,1,1,0.1,0.6765686837270865,0.4384893423094785,0.06721002547829116
110,13,1,1,0.05,0.6741851235420318,0.42599971513102824,0.06547482819503522
110,13,1,1,0.01,2.0855334361053197,1.9255258222450888,0.2968411596242093
110,13,1,5,0.1,0.6656472499756084,0.46373222164641653,0.07203355806496221
110,13,1,5,0.05,0.6750632650837004,0.46627825701147096,0.072102727743677
110,13,1,5,0.01,2.082986926443573,1.9210065808690582,0.29600529158369
110,13,2,1,0.1,0.674697846822145,0.43620070349901247,0.06700906899829037
110,13,2,1,0.05,0.6597778922689674,0.4288688599435906,0.06567406439630616
110,13,2,1,0.01,2.0843271918267723,1.9257852636064803,0.2968980272717264
110,13,2,5,0.1,0.6566861446460168,0.4577060639230829,0.07114915001128301
110,13,2,5,0.05,0.6727488698152247,0.464015286954722,0.07196979857432838
110,13,2,5,0.01,2.0828803860831324,1.920781170622747,0.29586438981587077
110,14,1,1,0.1,0.6728381987834673,0.43364313211656147,0.06680668213902605
110,14,1,1,0.05,0.6750626168084716,0.42566260431045877,0.06530449591663176
110,14,1,1,0.01,2.0855424843288977,1.9255356551292249,0.29684288069855097
110,14,1,5,0.1,0.667320610273135,0.46541899544852117,0.07240468394920636
110,14,1,5,0.05,0.6728041372177332,0.4644170644946564,0.07174786230875002
110,14,1,5,0.01,2.082986926443573,1.9210065808690582,0.29600529158369
110,14,2,1,0.1,0.6693870835414236,0.438017886025565,0.06739968215778819
110,14,2,1,0.05,0.6711974862569152,0.432336012617986,0.06589019828633438
110,14,2,1,0.01,2.0845113258043835,1.9260187926328272,0.29693673044037006
110,14,2,5,0.1,0.6582951077154879,0.45681042635351193,0.07100055398435313
110,14,2,5,0.05,0.6779961455421181,0.46985858329256674,0.07292471887499731
110,14,2,5,0.01,2.0828803860831324,1.920781170622747,0.29586438981587077
110,15,1,1,0.1,0.6805003597612839,0.4441401560503737,0.06884646274860395
110,15,1,1,0.05,0.6760034457851257,0.4325846877133936,0.066501901200099
110,15,1,1,0.01,2.0855424843288977,1.9255356551292249,0.29684288069855097
110,15,1,5,0.1,0.6649384248190662,0.4633758666820096,0.0720625335019767
110,15,1,5,0.05,0.6698966889246337,0.45928592323360584,0.07092637923494834
110,15,1,5,0.01,2.082986926443573,1.9210065808690582,0.29600529158369
110,15,2,1,0.1,0.6751716789138981,0.43890436373258895,0.06780391795637196
110,15,2,1,0.05,0.670864950786859,0.4298578762828855,0.06579230082124403
110,15,2,1,0.01,2.0845113258043835,1.9260187926328272,0.29693673044037006
110,15,2,5,0.1,0.6619106829617658,0.46059931016506106,0.0716510334013834
110,15,2,5,0.05,0.672905084353907,0.465597509513224,0.07213119092419265
110,15,2,5,0.01,2.0828803860831324,1.920781170622747,0.29586438981587077
110,16,1,1,0.1,0.6686451452671538,0.43183637088402776,0.06665058942409324
110,16,1,1,0.05,0.6793318215927124,0.43142204815283763,0.06628434967449448
110,16,1,1,0.01,2.0855424843288977,1.9255356551292249,0.29684288069855097
110,16,1,5,0.1,0.666267242235356,0.4667935818837102,0.07263540643550336
110,16,1,5,0.05,0.6696327981097709,0.45975417129975504,0.0710596667881229
110,16,1,5,0.01,2.082986926443573,1.9210065808690582,0.29600529158369
110,16,2,1,0.1,0.6715390894154997,0.4379699672612929,0.06733580869477898
110,16,2,1,0.05,0.6700038797790596,0.4306437321713096,0.06577962357417504
110,16,2,1,0.01,2.0845113258043835,1.9260187926328272,0.29693673044037006
110,16,2,5,0.1,0.6619106829617658,0.46059931016506106,0.0716510334013834
110,16,2,5,0.05,0.6743653228992346,0.4685471781393639,0.07260389308228776
110,16,2,5,0.01,2.0828803860831324,1.920781170622747,0.29586438981587077
110,17,1,1,0.1,0.6586071819236654,0.42952310590815723,0.066298025126685
110,17,1,1,0.05,0.6751315539342508,0.43061603087231626,0.06620724280027991
110,17,1,1,0.01,2.0855424843288977,1.9255356551292249,0.29684288069855097
110,17,1,5,0.1,0.666267242235356,0.4667935818837102,0.07263540643550336
110,17,1,5,0.05,0.6696327981097709,0.45975417129975504,0.0710596667881229
110,17,1,5,0.01,2.082986926443573,1.9210065808690582,0.29600529158369
110,17,2,1,0.1,0.6755741719716635,0.43676529088414706,0.06720582706405484
110,17,2,1,0.05,0.66956084202003,0.4298758291660395,0.06571426710346516
110,17,2,1,0.01,2.0845113258043835,1.9260187926328272,0.29693673044037006
110,17,2,5,0.1,0.6619106829617658,0.46059931016506106,0.0716510334013834
110,17,2,5,0.05,0.6743653228992346,0.4685471781393639,0.07260389308228776
110,17,2,5,0.01,2.0828803860831324,1.920781170622747,0.29586438981587077
120,10,1,1,0.1,0.6654015802117432,0.4372571050314079,0.06777545444718928
120,10,1,1,0.05,0.6804526614449782,0.4359020125597043,0.06713367415773352
120,10,1,1,0.01,1.9118289580364125,1.7438241817359639,0.26783180358711767
120,10,1,5,0.1,0.6772183235996357,0.47809499195643834,0.07455277028007068
120,10,1,5,0.05,0.6725009161772202,0.46389173034438513,0.07188705200599
120,10,1,5,0.01,1.9088211338867382,1.7386325418859498,0.2668829009115067
120,10,2,1,0.1,0.6780547536176396,0.44496354067235966,0.06848757593058764
120,10,2,1,0.05,0.6639158673923231,0.43656486798049815,0.06707619953534316
120,10,2,1,0.01,1.911219504289371,1.7452925340035805,0.2681354618887914
120,10,2,5,0.1,0.6632754315533169,0.46024469217859715,0.07131126755616901
120,10,2,5,0.05,0.6681202955907481,0.4633354782161856,0.07174014488667847
120,10,2,5,0.01,1.908657595827417,1.7378288791771224,0.26665681462082846
120,11,1,1,0.1,0.6734054719325957,0.4388876698429423,0.06753874657269823
120,11,1,1,0.05,0.6712574580618176,0.42882884549019035,0.06588660133975106
120,11,1,1,0.01,1.913045178845905,1.745615532738822,0.2681570566535648
120,11,1,5,0.1,0.6724274825581834,0.46789218601427585,0.07265869207962633
120,11,1,5,0.05,0.6755754410781946,0.46720657922271497,0.0724823565196268
120,11,1,5,0.01,1.908630047502848,1.7387424087524415,0.2669212922045237
120,11,2,1,0.1,0.6732879133919141,0.42961364115091194,0.06597082189653858
120,11,2,1,0.05,0.6646861971389373,0.43555456749478677,0.06706866814788547
120,11,2,1,0.01,1.9106949549233272,1.7442732644618903,0.26793222365525454
120,11,2,5,0.1,0.6594667617765189,0.46318644874974296,0.071877033325484
120,11,2,5,0.05,0.6794057461312749,0.4729464205404869,0.0734616168299372
120,11,2,5,0.01,1.9088193100551762,1.7380139809085016,0.26668782307924355
120,12,1,1,0.1,0.6867837811403659,0.4459588235840761,0.06872771716504535
120,12,1,1,0.05,0.6899457262237204,0.4427832815700904,0.06813291815464424
120,12,1,1,0.01,1.9123284461854815,1.7448986467920748,0.26805645877370143
120,12,1,5,0.1,0.6697871980657439,0.469154947180497,0.07299971517487529
120,12,1,5,0.05,0.6726188084229954,0.4648750316648555,0.07205947966314523
120,12,1,5,0.01,1.9086169321614639,1.7387112666251965,0.26691674761229844
120,12,2,1,0.1,0.6657362121288486,0.4383505637663647,0.06750517344492629
120,12,2,1,0.05,0.670461493294494,0.4312250620619695,0.06605398057836162
120,12,2,1,0.01,1.9109638494485601,1.7445921666998614,0.2679939237486823
120,12,2,5,0.1,0.6599221794073632,0.4556526453692214,0.0706510771680706
120,12,2,5,0.05,0.6792179921114369,0.472800372847937,0.07332751128058258
120,12,2,5,0.01,1.9089742308571238,1.738123819093059,0.26670109278673276
120,13,1,1,0.1,0.6765675143383382,0.4384978952622951,0.06721202647454796
120,13,1,1,0.05,0.6730399056117758,0.42795594408996124,0.06592879742493256
120,13,1,1,0.01,1.9127615387450314,1.7449851959630065,0.26805146626967546
120,13,1,5,0.1,0.6656484737442775,0.46374269915702654,0.07203581216978168
120,13,1,5,0.05,0.6750649097166949,0.4685499275895886,0.07260442914264983
120,13,1,5,0.01,1.9086168773514312,1.738711189542498,0.26691673312613384
